,name,categori1,categori2,url,image*href,fit,season,두께
67,[5300] 스탠다드 브이넥 가디건 (아이보리),아우터,카디건,https://www.musinsa.com/app/goods/3162751?loc=goods_rank,//image.msscdn.net/images/goods_img/20230320/3162751/3162751_16793019951907_500.jpg,레귤러,"봄,가을",보통
68,하이크 베스트 후드 집업_차콜,아우터,베스트,https://www.musinsa.com/app/goods/3066666?loc=goods_rank,//image.msscdn.net/images/goods_img/20230208/3066666/3066666_16830071938340_500.jpg,루즈,봄,보통
69,바이커 숏 자켓 - 블랙,아우터,블루종/MA-1,https://www.musinsa.com/app/goods/3048205?loc=goods_rank,//image.msscdn.net/images/goods_img/20230130/3048205/3048205_16754097310724_500.jpg,레귤러,"봄,가을,겨울",보통
70,오버핏 윈드브레이커 하이넥 스트링 자켓 점퍼,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/2998697?loc=goods_rank,//image.msscdn.net/images/goods_img/20221227/2998697/2998697_16722017655370_500.jpg,루즈,"봄,가을",보통
71,캐시미어 시그니처 와펜 라운드 가디건(블랙),아우터,카디건,https://www.musinsa.com/app/goods/3066240?loc=goods_rank,//image.msscdn.net/images/goods_img/20230207/3066240/3066240_16770726184124_500.jpg,슬림,"봄,여름,가을",약간 얇음
72,로우컷 뒷밴딩 숏 자켓 - 인디 핑크,아우터,블루종/MA-1,https://www.musinsa.com/app/goods/3048143?loc=goods_rank,//image.msscdn.net/images/goods_img/20230130/3048143/3048143_16771154686721_500.jpg,레귤러,"봄,가을,겨울",보통
73,포켓 밴딩 후드 야상 - 라이트 블루,아우터,기타 아우터,https://www.musinsa.com/app/goods/3051260?loc=goods_rank,//image.msscdn.net/images/goods_img/20230131/3051260/3051260_16754096366907_500.jpg,레귤러,"봄,가을,겨울",보통
74,하이넥 미니멀 블루종 재킷 [블랙],아우터,블루종/MA-1,https://www.musinsa.com/app/goods/3054928?loc=goods_rank,//image.msscdn.net/images/goods_img/20230202/3054928/3054928_16817242468848_500.jpg,오버 사이즈,"봄,가을",보통
75,비건프리 싱글레더 자켓 (BK),아우터,레더/라이더스 재킷,https://www.musinsa.com/app/goods/2994649?loc=goods_rank,//image.msscdn.net/images/goods_img/20221223/2994649/2994649_16757312756889_500.jpg,레귤러,"봄,가을",보통
76,디비전 나일론 후드 집업 베스트 (LIGHT GRAY),아우터,베스트,https://www.musinsa.com/app/goods/3296745?loc=goods_rank,//image.msscdn.net/images/goods_img/20230515/3296745/3296745_16841352844097_500.jpg,루즈,"봄,여름",보통
77,유틸리티 후드 베스트[블랙],아우터,베스트,https://www.musinsa.com/app/goods/3094834?loc=goods_rank,//image.msscdn.net/images/goods_img/20230220/3094834/3094834_16772291665626_500.jpg,슬림,"봄,여름,가을,겨울",얇음
78,스카시 하프 카디건_IVORY,아우터,카디건,https://www.musinsa.com/app/goods/3295030?loc=goods_rank,//image.msscdn.net/images/goods_img/20230512/3295030/3295030_16849780535476_500.jpg,레귤러,여름,약간 얇음
79,MODERN V NECK VEST_CREAM,아우터,베스트,https://www.musinsa.com/app/goods/3131919?loc=goods_rank,//image.msscdn.net/images/goods_img/20230308/3131919/3131919_16786972787429_500.jpg,레귤러,"봄,여름",보통
80,와플 펀칭 니트 베스트 (LIGHT BEIGE),아우터,베스트,https://www.musinsa.com/app/goods/3244962?loc=goods_rank,//image.msscdn.net/images/goods_img/20230419/3244962/3244962_16820435278833_500.jpg,루즈,"봄,여름,가을",보통
81,코지 볼레로 가디건 화이트 White,스포츠/용품,아우터,https://www.musinsa.com/app/goods/3012768?loc=goods_rank,//image.msscdn.net/images/goods_img/20230110/3012768/3012768_16733235861051_500.jpg,루즈,"봄,여름,가을,겨울",보통
